host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,sample,mode,s0,s1,s2,s3,s4,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
2026-06-10T14:21:43.5246262-07:00,1781126503524,60003110,1232,0,DRIVING,102,1000,1000,1000,73,-28,61,0,0,0.00000,0.00000,0.00000,0.00000,0.000,2,2,0,100,100
2026-06-10T14:21:43.5709734-07:00,1781126503570,60053132,51254,1,DRIVING,106,1000,1000,1000,76,-28,68,0,7,0.00000,0.00195,0.00098,0.00002,1.179,2,2,0,100,100
2026-06-10T14:21:43.6204274-07:00,1781126503620,60103087,101209,2,DRIVING,100,964,1000,1000,73,-25,82,3,14,0.00084,0.00586,0.00335,0.00015,3.032,2,2,0,100,100
2026-06-10T14:21:43.6712792-07:00,1781126503671,60153088,151210,3,DRIVING,92,884,1000,1000,72,-18,96,7,14,0.00279,0.00977,0.00627,0.00036,4.211,2,2,0,100,100
2026-06-10T14:21:43.7152224-07:00,1781126503715,60203082,201204,4,DRIVING,92,804,1000,1000,79,-10,109,8,13,0.00503,0.01340,0.00919,0.00062,5.053,2,2,0,100,100
2026-06-10T14:21:43.7715544-07:00,1781126503771,60253087,251209,5,DRIVING,92,747,1000,1000,84,-2,120,8,11,0.00726,0.01648,0.01183,0.00088,5.558,2,2,0,100,100
2026-06-10T14:21:43.8134127-07:00,1781126503813,60303087,301209,6,DRIVING,92,691,1000,1000,88,5,131,7,11,0.00922,0.01955,0.01433,0.00115,6.232,2,2,0,100,100
2026-06-10T14:21:43.8610115-07:00,1781126503861,60353091,351213,7,DRIVING,92,622,1000,1000,91,12,142,7,11,0.01117,0.02262,0.01683,0.00145,6.905,2,2,0,100,100
2026-06-10T14:21:43.9084592-07:00,1781126503908,60403081,401203,8,DRIVING,89,564,1000,1000,97,19,151,7,9,0.01312,0.02513,0.01904,0.00173,7.242,2,2,0,100,100
2026-06-10T14:21:43.9715703-07:00,1781126503971,60453085,451207,9,DRIVING,88,511,1000,1000,98,29,162,10,11,0.01592,0.02820,0.02195,0.00211,7.411,2,2,0,100,100
2026-06-10T14:21:44.0189607-07:00,1781126504018,60503082,501204,10,DRIVING,82,431,1000,1000,94,39,175,10,13,0.01871,0.03183,0.02513,0.00255,7.916,3,2,0,100,-100
2026-06-10T14:21:44.0663215-07:00,1781126504066,60553089,551211,11,DRIVING,47,499,987,1000,52,50,175,11,0,0.02178,0.03183,0.02666,0.00272,6.063,3,3,0,100,-100
2026-06-10T14:21:44.1138354-07:00,1781126504113,60603084,601206,12,DRIVING,12,878,1000,1000,15,63,161,13,-14,0.02541,0.02793,0.02652,0.00271,1.516,2,3,0,100,100
2026-06-10T14:21:44.1618324-07:00,1781126504161,60653090,651212,13,DRIVING,39,1000,1000,1000,42,73,160,10,-1,0.02820,0.02765,0.02778,0.00270,-0.337,2,2,0,100,100
2026-06-10T14:21:44.2093520-07:00,1781126504209,60703097,701219,14,DRIVING,58,968,1000,1000,62,78,176,5,16,0.02960,0.03211,0.03071,0.00278,1.516,2,2,0,100,100
2026-06-10T14:21:44.2620750-07:00,1781126504262,60753078,751200,15,DRIVING,23,803,1000,1000,31,82,194,4,18,0.03072,0.03714,0.03377,0.00299,3.874,2,2,0,100,100
2026-06-10T14:21:44.3096642-07:00,1781126504309,60803084,801206,16,DRIVING,11,596,1000,1000,21,91,214,9,20,0.03323,0.04273,0.03780,0.00339,5.726,2,2,0,100,100
2026-06-10T14:21:44.3597649-07:00,1781126504359,60853083,851205,17,DRIVING,9,404,961,1000,22,103,234,12,20,0.03658,0.04831,0.04223,0.00394,7.074,3,2,0,100,-100
2026-06-10T14:21:44.4063275-07:00,1781126504406,60903084,901206,18,DRIVING,8,474,974,1000,16,117,238,14,4,0.04049,0.04943,0.04474,0.00418,5.389,3,3,0,100,-100
2026-06-10T14:21:44.4637915-07:00,1781126504463,60953084,951206,19,DRIVING,11,868,1000,1000,14,129,227,12,-11,0.04384,0.04636,0.04488,0.00418,1.516,2,3,0,100,100
2026-06-10T14:21:44.5105973-07:00,1781126504510,61003143,1001265,20,DRIVING,18,970,1000,1000,19,137,225,8,-2,0.04608,0.04580,0.04571,0.00418,-0.168,2,2,0,100,100
2026-06-10T14:21:44.5581665-07:00,1781126504558,61053093,1051215,21,DRIVING,12,921,1000,1000,18,141,238,4,13,0.04719,0.04943,0.04809,0.00424,1.347,2,2,0,100,100
2026-06-10T14:21:44.6058004-07:00,1781126504605,61103082,1101204,22,DRIVING,11,774,1000,1000,14,146,257,5,19,0.04859,0.05473,0.05143,0.00445,3.705,2,2,0,100,100
2026-06-10T14:21:44.6694543-07:00,1781126504669,61153086,1151208,23,DRIVING,12,535,992,1000,16,153,277,7,20,0.05054,0.06032,0.05518,0.00484,5.895,2,2,0,100,100
2026-06-10T14:21:44.7171696-07:00,1781126504717,61203093,1201215,24,DRIVING,11,305,925,1000,18,163,296,10,19,0.05334,0.06562,0.05920,0.00536,7.411,3,2,0,100,-100
2026-06-10T14:21:44.7659127-07:00,1781126504765,61253092,1251214,25,DRIVING,11,298,918,1000,16,174,300,11,4,0.05641,0.06674,0.06128,0.00559,6.232,3,3,0,100,-100
2026-06-10T14:21:44.8121840-07:00,1781126504812,61303089,1301211,26,DRIVING,16,692,1000,1000,18,185,290,11,-10,0.05948,0.06395,0.06142,0.00560,2.695,2,3,0,100,100
2026-06-10T14:21:44.8607444-07:00,1781126504860,61353084,1351206,27,DRIVING,25,857,1000,1000,21,192,290,7,0,0.06144,0.06395,0.06239,0.00562,1.516,2,2,0,100,100
2026-06-10T14:21:44.9093950-07:00,1781126504909,61403082,1401204,28,DRIVING,15,687,1000,1000,16,197,307,5,17,0.06283,0.06870,0.06546,0.00581,3.537,2,2,0,100,100
2026-06-10T14:21:44.9716755-07:00,1781126504971,61453092,1451214,29,DRIVING,14,391,953,1000,16,205,329,8,22,0.06507,0.07484,0.06963,0.00624,5.895,3,2,0,100,-100
2026-06-10T14:21:45.0191101-07:00,1781126505019,61503090,1501212,30,DRIVING,11,327,927,1000,15,216,335,11,6,0.06814,0.07652,0.07199,0.00645,5.053,3,3,0,100,-100
2026-06-10T14:21:45.0702321-07:00,1781126505070,61553079,1551201,31,DRIVING,14,703,1000,1000,14,227,327,11,-8,0.07121,0.07428,0.07241,0.00646,1.853,2,3,0,100,100
2026-06-10T14:21:45.1182921-07:00,1781126505118,61603085,1601207,32,DRIVING,29,864,1000,1000,24,234,328,7,1,0.07316,0.07456,0.07353,0.00648,0.842,2,2,0,100,100
2026-06-10T14:21:45.1699959-07:00,1781126505169,61653087,1651209,33,DRIVING,22,706,1000,1000,19,240,344,6,16,0.07484,0.07903,0.07660,0.00662,2.526,2,2,0,100,100
2026-06-10T14:21:45.2214432-07:00,1781126505221,61703077,1701199,34,DRIVING,15,442,969,1000,16,249,366,9,22,0.07735,0.08517,0.08091,0.00697,4.716,3,2,0,100,-100
2026-06-10T14:21:45.2578405-07:00,1781126505257,61753081,1751203,35,DRIVING,11,396,959,1000,12,261,372,12,6,0.08070,0.08685,0.08342,0.00713,3.705,3,3,0,100,-100
2026-06-10T14:21:45.3215308-07:00,1781126505321,61803091,1801213,36,DRIVING,16,793,1000,1000,12,273,364,12,-8,0.08406,0.08461,0.08398,0.00714,0.337,2,3,0,100,100
2026-06-10T14:21:45.3616660-07:00,1781126505361,61853077,1851199,37,DRIVING,30,936,1000,1000,22,282,364,9,0,0.08657,0.08461,0.08523,0.00711,-1.179,2,2,0,100,100
2026-06-10T14:21:45.4087750-07:00,1781126505408,61903091,1901213,38,DRIVING,29,880,1000,1000,24,289,380,7,16,0.08852,0.08908,0.08844,0.00713,0.337,2,2,0,100,100
2026-06-10T14:21:45.4588203-07:00,1781126505458,61953085,1951207,39,DRIVING,14,690,1000,1000,12,298,401,9,21,0.09104,0.09495,0.09263,0.00730,2.358,2,2,0,100,100
2026-06-10T14:21:45.5221325-07:00,1781126505522,62003142,2001264,40,DRIVING,12,492,974,1000,12,310,423,12,22,0.09439,0.10109,0.09736,0.00764,4.042,3,2,0,100,-100
2026-06-10T14:21:45.5696177-07:00,1781126505569,62053080,2051202,41,DRIVING,12,537,989,1000,12,325,428,15,5,0.09858,0.10249,0.10015,0.00775,2.358,2,3,0,100,100
2026-06-10T14:21:45.6177534-07:00,1781126505617,62103076,2101198,42,DRIVING,23,806,1000,1000,19,338,432,13,4,0.10221,0.10360,0.10253,0.00779,0.842,2,2,0,100,100
2026-06-10T14:21:45.6657610-07:00,1781126505665,62153094,2151216,43,DRIVING,23,777,1000,1000,18,350,447,12,15,0.10556,0.10779,0.10630,0.00788,1.347,2,2,0,100,100
2026-06-10T14:21:45.7128692-07:00,1781126505712,62203083,2201205,44,DRIVING,14,666,1000,1000,14,362,466,12,19,0.10891,0.11310,0.11062,0.00807,2.526,2,2,0,100,100
2026-06-10T14:21:45.7599760-07:00,1781126505759,62253088,2251210,45,DRIVING,12,528,997,1000,14,376,487,14,21,0.11282,0.11896,0.11550,0.00838,3.705,2,2,0,100,100
2026-06-10T14:21:45.8069888-07:00,1781126505806,62303082,2301204,46,DRIVING,8,391,959,1000,12,391,506,15,19,0.11701,0.12427,0.12023,0.00875,4.379,3,2,0,100,-100
2026-06-10T14:21:45.8613654-07:00,1781126505861,62353087,2351209,47,DRIVING,8,504,978,1000,11,407,511,16,5,0.12147,0.12566,0.12316,0.00887,2.526,2,3,0,100,100
2026-06-10T14:21:45.9096608-07:00,1781126505909,62403090,2401212,48,DRIVING,18,788,1000,1000,19,420,513,13,2,0.12511,0.12622,0.12526,0.00890,0.674,2,2,0,100,100
2026-06-10T14:21:45.9709338-07:00,1781126505970,62453076,2451198,49,DRIVING,15,742,1000,1000,18,431,527,11,14,0.12818,0.13013,0.12875,0.00897,1.179,2,2,0,100,100
2026-06-10T14:21:46.0065540-07:00,1781126506006,62503077,2501199,50,DRIVING,11,594,1000,1000,16,442,547,11,20,0.13125,0.13572,0.13307,0.00917,2.695,2,2,0,100,100
2026-06-10T14:21:46.0695181-07:00,1781126506069,62553081,2551203,51,DRIVING,5,416,957,1000,16,454,567,12,20,0.13460,0.14130,0.13753,0.00949,4.042,3,2,0,100,-100
2026-06-10T14:21:46.1169350-07:00,1781126506116,62603079,2601201,52,DRIVING,7,510,980,1000,16,469,572,15,5,0.13879,0.14270,0.14032,0.00960,2.358,2,3,0,100,100
2026-06-10T14:21:46.1643134-07:00,1781126506164,62653094,2651216,53,DRIVING,30,767,1000,1000,36,481,575,12,3,0.14214,0.14354,0.14241,0.00964,0.842,2,2,0,100,100
2026-06-10T14:21:46.2116287-07:00,1781126506211,62703080,2701202,54,DRIVING,63,735,1000,1000,70,492,591,11,16,0.14521,0.14800,0.14618,0.00975,1.684,2,2,0,100,100
2026-06-10T14:21:46.2597681-07:00,1781126506259,62753091,2751213,55,DRIVING,51,563,987,1000,62,503,609,11,18,0.14828,0.15303,0.15022,0.00995,2.863,2,2,0,100,100
2026-06-10T14:21:46.3068170-07:00,1781126506306,62803091,2801213,56,DRIVING,85,471,996,1000,88,515,633,12,24,0.15163,0.15973,0.15523,0.01038,4.884,3,2,0,100,-100
2026-06-10T14:21:46.3635999-07:00,1781126506363,62853086,2851208,57,DRIVING,53,826,1000,1000,59,526,641,11,8,0.15471,0.16197,0.15788,0.01058,4.379,2,3,0,100,100
2026-06-10T14:21:46.4111037-07:00,1781126506411,62903077,2901199,58,DRIVING,43,1000,1000,1000,43,538,644,12,3,0.15806,0.16280,0.15997,0.01068,2.863,2,2,0,100,100
2026-06-10T14:21:46.4605446-07:00,1781126506460,62953092,2951214,59,DRIVING,107,1000,1000,1000,97,550,663,12,19,0.16141,0.16811,0.16429,0.01099,4.042,2,2,0,100,100
2026-06-10T14:21:46.5067878-07:00,1781126506506,63003145,3001267,60,DRIVING,156,1000,1000,1000,96,561,681,11,18,0.16448,0.17314,0.16832,0.01136,5.221,2,2,0,100,100
2026-06-10T14:21:46.5704522-07:00,1781126506570,63053087,3051209,61,DRIVING,554,1000,1000,1000,96,574,701,13,20,0.16811,0.17872,0.17290,0.01187,6.400,2,2,0,100,100
2026-06-10T14:21:46.6179398-07:00,1781126506617,63103084,3101206,62,DRIVING,1000,1000,1000,1000,142,587,723,13,22,0.17174,0.18487,0.17774,0.01254,7.916,2,2,0,100,100
2026-06-10T14:21:46.6655774-07:00,1781126506665,63153087,3151209,63,DRIVING,1000,1000,1000,1000,230,601,744,14,21,0.17565,0.19073,0.18256,0.01332,9.095,2,2,0,100,100
2026-06-10T14:21:46.7132028-07:00,1781126506713,63203084,3201206,64,DRIVING,1000,1000,593,506,344,617,762,16,18,0.18012,0.19576,0.18725,0.01409,9.432,2,2,0,100,100
2026-06-10T14:21:46.7608017-07:00,1781126506760,63253086,3251208,65,DRIVING,1000,327,104,90,514,632,779,15,17,0.18431,0.20050,0.19165,0.01485,9.768,0,2,0,-100,100
2026-06-10T14:21:46.8085363-07:00,1781126506808,63303088,3301210,66,DRIVING,1000,70,27,20,206,635,797,3,18,0.18514,0.20553,0.19451,0.01548,12.295,0,0,0,-100,100
2026-06-10T14:21:46.8720858-07:00,1781126506872,63353087,3351209,67,DRIVING,1000,83,22,13,19,625,814,-10,17,0.18235,0.21028,0.19545,0.01576,16.842,0,0,0,-100,100
2026-06-10T14:21:46.9211622-07:00,1781126506921,63403077,3401199,68,DRIVING,1000,275,40,22,15,610,829,-15,15,0.17816,0.21447,0.19545,0.01576,21.895,0,0,0,-100,100
2026-06-10T14:21:46.9686092-07:00,1781126506968,63453097,3451219,69,DRIVING,1000,785,81,40,24,595,841,-15,12,0.17397,0.21782,0.19507,0.01557,26.442,1,0,0,-100,100
2026-06-10T14:21:47.0162664-07:00,1781126507016,63503084,3501206,70,DRIVING,1000,1000,163,55,26,582,850,-13,9,0.17034,0.22033,0.19459,0.01529,30.147,1,1,0,-100,100
2026-06-10T14:21:47.0638571-07:00,1781126507063,63553090,3551212,71,DRIVING,1000,1000,364,84,35,569,858,-13,8,0.16671,0.22256,0.19401,0.01491,33.684,1,1,0,-100,100
2026-06-10T14:21:47.1114205-07:00,1781126507111,63603090,3601212,72,DRIVING,470,1000,745,157,66,558,865,-11,7,0.16364,0.22452,0.19356,0.01457,36.716,1,1,0,-100,100
2026-06-10T14:21:47.1586025-07:00,1781126507158,63653082,3651204,73,DRIVING,194,1000,1000,278,90,547,872,-11,7,0.16057,0.22647,0.19313,0.01421,39.747,1,1,0,-100,100
2026-06-10T14:21:47.2063390-07:00,1781126507206,63703081,3701203,74,DRIVING,105,1000,1000,408,83,537,873,-10,1,0.15778,0.22675,0.19219,0.01338,41.600,1,1,0,-100,100
2026-06-10T14:21:47.2616108-07:00,1781126507261,63753077,3751199,75,DRIVING,85,1000,1000,627,86,528,873,-9,0,0.15526,0.22675,0.19128,0.01252,43.116,2,1,0,100,100
2026-06-10T14:21:47.3091951-07:00,1781126507309,63803096,3801218,76,DRIVING,112,1000,1000,662,111,531,873,3,0,0.15610,0.22675,0.19158,0.01281,42.611,2,2,0,100,100
2026-06-10T14:21:47.3591499-07:00,1781126507359,63853096,3851218,77,DRIVING,165,1000,1000,354,107,546,873,15,0,0.16029,0.22675,0.19319,0.01415,40.084,1,2,0,-100,100
2026-06-10T14:21:47.4100316-07:00,1781126507410,63903095,3901217,78,DRIVING,218,1000,945,207,70,549,875,3,2,0.16113,0.22731,0.19372,0.01460,39.916,1,1,0,-100,100
2026-06-10T14:21:47.4619869-07:00,1781126507461,63953087,3951209,79,DRIVING,106,1000,1000,267,60,541,881,-8,6,0.15889,0.22899,0.19352,0.01441,42.274,1,1,0,-100,100
2026-06-10T14:21:47.5099422-07:00,1781126507509,64003144,4001266,80,DRIVING,102,1000,1000,436,87,533,884,-8,3,0.15666,0.22983,0.19301,0.01393,44.126,1,1,0,-100,100
2026-06-10T14:21:47.5575900-07:00,1781126507557,64053085,4051207,81,DRIVING,109,1000,1000,704,103,523,884,-10,0,0.15387,0.22983,0.19204,0.01293,45.811,2,1,0,100,100
2026-06-10T14:21:47.6209065-07:00,1781126507620,64103084,4101206,82,DRIVING,128,1000,1000,691,122,527,884,4,0,0.15499,0.22983,0.19244,0.01332,45.137,2,2,0,100,100
2026-06-10T14:21:47.6710087-07:00,1781126507671,64153077,4151199,83,DRIVING,154,1000,1000,349,108,544,885,17,1,0.15973,0.23010,0.19429,0.01502,42.442,1,2,0,-100,100
2026-06-10T14:21:47.7156380-07:00,1781126507715,64203078,4201200,84,DRIVING,201,1000,925,199,76,548,886,4,1,0.16085,0.23038,0.19481,0.01549,41.937,1,1,0,-100,100
2026-06-10T14:21:47.7635005-07:00,1781126507763,64253088,4251210,85,DRIVING,112,1000,1000,250,72,541,889,-7,3,0.15889,0.23122,0.19440,0.01510,43.621,1,1,0,-100,100
2026-06-10T14:21:47.8107688-07:00,1781126507810,64303088,4301210,86,DRIVING,89,1000,1000,398,81,532,892,-9,3,0.15638,0.23206,0.19382,0.01450,45.642,1,1,0,-100,100
2026-06-10T14:21:47.8587202-07:00,1781126507858,64353076,4351198,87,DRIVING,65,1000,1000,685,66,520,893,-12,1,0.15303,0.23234,0.19279,0.01336,47.832,2,1,0,100,100
2026-06-10T14:21:47.9205467-07:00,1781126507920,64403090,4401212,88,DRIVING,70,1000,1000,722,73,522,893,2,0,0.15359,0.23234,0.19298,0.01357,47.495,2,2,0,100,100
2026-06-10T14:21:47.9579973-07:00,1781126507957,64453091,4451213,89,DRIVING,81,1000,1000,327,66,537,893,15,0,0.15778,0.23234,0.19446,0.01505,44.968,1,2,0,-100,100
2026-06-10T14:21:48.0208081-07:00,1781126508020,64503082,4501204,90,DRIVING,58,1000,949,140,16,541,893,4,0,0.15889,0.23234,0.19486,0.01544,44.295,1,1,0,-100,100
2026-06-10T14:21:48.0687058-07:00,1781126508068,64553092,4551214,91,DRIVING,54,1000,981,176,28,538,897,-3,4,0.15806,0.23346,0.19496,0.01554,45.474,1,1,0,-100,100
2026-06-10T14:21:48.1166655-07:00,1781126508116,64603076,4601198,92,DRIVING,29,1000,1000,232,16,532,902,-6,5,0.15638,0.23485,0.19486,0.01544,47.326,1,1,0,-100,100
2026-06-10T14:21:48.1643479-07:00,1781126508164,64653088,4651210,93,DRIVING,25,1000,1000,470,16,522,912,-10,10,0.15359,0.23764,0.19486,0.01544,50.695,1,1,0,-100,100
2026-06-10T14:21:48.2214235-07:00,1781126508221,64703084,4701206,94,DRIVING,19,1000,1000,919,18,511,923,-11,11,0.15052,0.24072,0.19486,0.01544,54.400,2,1,0,100,100
2026-06-10T14:21:48.2574538-07:00,1781126508257,64753086,4751208,95,DRIVING,30,1000,1000,951,26,515,931,4,8,0.15163,0.24295,0.19582,0.01681,55.074,2,2,0,100,100
2026-06-10T14:21:48.3206759-07:00,1781126508320,64803086,4801208,96,DRIVING,22,1000,1000,448,14,531,940,16,9,0.15610,0.24546,0.19788,0.01963,53.895,1,2,0,-100,100
2026-06-10T14:21:48.3611731-07:00,1781126508361,64853080,4851202,97,DRIVING,22,1000,1000,243,11,537,952,6,12,0.15778,0.24881,0.19932,0.02169,54.905,1,1,0,-100,100
2026-06-10T14:21:48.4101527-07:00,1781126508410,64903084,4901206,98,DRIVING,22,1000,1000,537,15,529,965,-8,13,0.15554,0.25244,0.19969,0.02228,58.442,2,1,0,100,100
2026-06-10T14:21:48.4616984-07:00,1781126508461,64953084,4951206,99,DRIVING,25,1000,1000,685,18,531,975,2,10,0.15610,0.25524,0.20053,0.02373,59.789,2,2,0,100,100
2026-06-10T14:21:48.5216934-07:00,1781126508521,65003134,5001256,100,DRIVING,26,1000,1000,311,11,547,987,16,12,0.16057,0.25859,0.20254,0.02708,59.116,1,2,0,-100,100
2026-06-10T14:21:48.5691865-07:00,1781126508569,65053088,5051210,101,DRIVING,19,1000,980,201,2,552,1003,5,16,0.16197,0.26306,0.20396,0.02965,60.968,1,1,0,-100,100
2026-06-10T14:21:48.6167829-07:00,1781126508616,65103079,5101201,102,DRIVING,19,1000,1000,476,2,545,1017,-7,14,0.16001,0.26697,0.20438,0.03053,64.505,1,1,0,-100,100
